Time,Used,Committed,Max
45438.727134,12017312,19689472,109576192
45438.727194,8973320,19689472,109576192
45438.727240,13412608,19689472,109576192
45438.727286,12546608,19689472,109576192
45438.727333,10799832,19689472,109576192
45438.727379,9061776,19689472,109576192
45438.727472,10678872,19689472,109576192
45438.727518,8568160,19689472,109576192
45438.727564,9383488,19689472,109576192
45438.727611,11706600,19689472,109576192
45438.727657,13972280,19689472,109576192
45438.727703,13609192,19689472,109576192
45438.727750,12479816,19689472,109576192
45438.727796,10081280,19689472,109576192
45438.727842,9188824,19689472,109576192
45438.727889,14201032,19689472,109576192
45438.727935,13661096,19689472,109576192
45438.727982,10783808,19689472,109576192
45438.728028,9365728,19689472,109576192
45438.728074,10325192,19689472,109576192
45438.728121,11222632,19689472,109576192
45438.728167,10120800,19689472,109576192
45438.728213,10472672,19689472,109576192
45438.728260,10877096,19689472,109576192
45438.728306,11797760,19689472,109576192
45438.728352,13021128,19689472,109576192
45438.728399,14154408,19689472,109576192
45438.728445,14528992,19689472,109576192
45438.728491,14451648,19689472,109576192
45438.728538,14564224,19689472,109576192
45438.728584,10016880,19689472,109576192
45438.728630,10009944,19689472,109576192
45438.728677,10471168,19689472,109576192
45438.728724,12364968,19689472,109576192
45438.728771,11439632,19689472,109576192
45438.728817,11856384,19689472,109576192
45438.728863,12896936,19689472,109576192
45438.728909,13637424,19689472,109576192
45438.728956,9642608,19689472,109576192
45438.729002,11553000,19689472,109576192
45438.729049,13840576,19689472,109576192
45438.729095,14688800,19689472,109576192
45438.729142,10923048,19689472,109576192
45438.729188,11373816,19689472,109576192
45438.729234,12044128,19689472,109576192
45438.729281,13960504,19689472,109576192
45438.729327,10153048,19689472,109576192
45438.729373,13636408,19689472,109576192
45438.729419,14459616,19689472,109576192
45438.729466,9984120,19689472,109576192
45438.729512,13769456,19689472,109576192
45438.729559,14241576,19689472,109576192
45438.729605,14483488,19689472,109576192
45438.729652,14047960,19689472,109576192
45438.729698,11196456,19689472,109576192
45438.729744,10227640,19689472,109576192
45438.729837,10284080,19689472,109576192
45438.729883,13482280,19689472,109576192
45438.729930,14141536,19689472,109576192
45438.729976,11268072,19689472,109576192
45438.730023,10624328,19689472,109576192
45438.730069,10537512,19689472,109576192
45438.730115,15638392,19689472,109576192
45438.730162,15625240,19689472,109576192
45438.730208,14374944,19689472,109576192
45438.730254,13194568,19689472,109576192
45438.730301,13345752,19689472,109576192
45438.730347,12153656,19689472,109576192
45438.730394,12858344,19689472,109576192
45438.730440,14214704,19689472,109576192
45438.730486,14192032,19689472,109576192
45438.730532,14095144,19689472,109576192
45438.730579,13768744,19689472,109576192
45438.730625,13553240,19689472,109576192
45438.730672,12488088,19689472,109576192
45438.730718,13531312,19689472,109576192
45438.730765,14557192,19689472,109576192
45438.730811,16001328,19689472,109576192
45438.730857,11949104,19689472,109576192
45438.730904,14207800,19689472,109576192
45438.730950,15373240,19689472,109576192
45438.730997,16215920,19689472,109576192
45438.731043,13989632,19689472,109576192
45438.731089,14343344,19689472,109576192
45438.731135,15466264,19689472,109576192
45438.731182,12051760,19689472,109576192
45438.731228,13670496,19689472,109576192
45438.731275,13763520,19689472,109576192
45438.731321,12485296,19689472,109576192
45438.731367,16196864,19689472,109576192
45438.731414,11888368,19689472,109576192
45438.731460,12884704,19689472,109576192
45438.731506,15932160,19689472,109576192
45438.731553,12615768,19689472,109576192
45438.731599,15101800,19689472,109576192
45438.731645,13012728,19689472,109576192
45438.731692,15014768,19689472,109576192
45438.731738,13141856,19689472,109576192
45438.731785,11570704,19689472,109576192
45438.731832,15719416,19689472,109576192
45438.731878,13046272,19689472,109576192
45438.731924,13482368,19689472,109576192
45438.731971,14267760,19689472,109576192
45438.732017,11572712,19689472,109576192
45438.732064,16557016,19689472,109576192
45438.732110,11752768,19689472,109576192
45438.732156,14984448,19689472,109576192
45438.732203,12455176,19689472,109576192
45438.732249,15479256,19689472,109576192
45438.732295,13112784,19689472,109576192
45438.732342,16125112,19689472,109576192
45438.732388,13617424,19689472,109576192
45438.732434,16577184,19689472,109576192
45438.732480,14046864,19689472,109576192
45438.732527,12058040,19689472,109576192
45438.732573,14824072,19689472,109576192
45438.732619,12227072,19689472,109576192
45438.732666,13473648,19689472,109576192
45438.732712,16712768,19689472,109576192
45438.732758,13552176,19689472,109576192
45438.732805,15879160,19689472,109576192
45438.732851,13725096,19689472,109576192
45438.732897,17010336,19689472,109576192
45438.732943,14128608,19689472,109576192
45438.732990,16805672,19689472,109576192
45438.733036,13967936,19689472,109576192
45438.733083,17424968,19689472,109576192
45438.733129,14258744,19689472,109576192
45438.733175,17474240,19689472,109576192
45438.733222,14371888,19689472,109576192
45438.733268,12592360,19689472,109576192
45438.733314,13966336,19689472,109576192
45438.733361,15839376,19689472,109576192
45438.733408,13836192,19689472,109576192
45438.733454,17314448,19689472,109576192
45438.733500,14857336,19689472,109576192
45438.733546,12824792,19689472,109576192
45438.733593,15839536,19689472,109576192
45438.733639,13306544,19689472,109576192
45438.733685,16154152,19689472,109576192
45438.733749,15318256,19689472,109576192
45438.733795,13910080,19689472,109576192
45438.733841,16925744,19689472,109576192
45438.733888,13961256,19689472,109576192
45438.733934,16826248,19689472,109576192
45438.733980,13993608,19689472,109576192
45438.734027,16038696,19689472,109576192
45438.734073,17205664,19689472,109576192
45438.734119,14341176,19689472,109576192
45438.734166,16900424,19689472,109576192
45438.734212,14325984,19689472,109576192
45438.734258,18137632,19689472,109576192
45438.734305,15562816,19689472,109576192
45438.734351,18378824,19689472,109576192
45438.734399,16527704,19689472,109576192
45438.734444,13371680,19689472,109576192
45438.734490,16620120,19689472,109576192
45438.734537,13861120,19689472,109576192
45438.734583,17098568,19689472,109576192
45438.734630,14840912,19689472,109576192
45438.734675,17867232,19689472,109576192
45438.734722,15434736,19689472,109576192
45438.734768,17833128,19689472,109576192
45438.734815,15191304,19689472,109576192
45438.734861,18595304,19689472,109576192
45438.734907,13932656,19689472,109576192
45438.734954,16941648,19689472,109576192
45438.735000,14201560,19689472,109576192
45438.735046,13684720,32894976,109576192
45438.735093,16542840,32894976,109576192
45438.735139,20108856,32894976,109576192
45438.735185,22187904,32894976,109576192
45438.735232,16231536,32894976,109576192
45438.735278,19772152,32894976,109576192
45438.735324,14380816,32894976,109576192
45438.735371,17610840,32894976,109576192
45438.735418,21149632,32894976,109576192
45438.735464,14457984,32894976,109576192
45438.735510,17081896,32894976,109576192
45438.735557,20672568,32894976,109576192
45438.735603,14882144,32894976,109576192
45438.735650,18444008,32894976,109576192
45438.735696,19408176,32894976,109576192
45438.735742,14034824,32894976,109576192
45438.735790,18164056,32894976,109576192
45438.735835,20774888,32894976,109576192
45438.735881,14656480,32894976,109576192
45438.735928,18570400,32894976,109576192
45438.735974,22543592,32894976,109576192
45438.736020,16562136,32894976,109576192
45438.736067,20172312,32894976,109576192
45438.736113,14379848,32894976,109576192
45438.736159,17206752,32894976,109576192
45438.736206,20778720,32894976,109576192
45438.736252,15014520,32894976,109576192
45438.736299,18932616,32894976,109576192
45438.736345,20997144,32894976,109576192
45438.736391,15075896,32894976,109576192
45438.736438,18798656,32894976,109576192
45438.736484,22922960,32894976,109576192
45438.736530,17006712,32894976,109576192
45438.736577,20569904,32894976,109576192
45438.736623,14778728,32894976,109576192
45438.736669,18554688,32894976,109576192
45438.736716,22103704,32894976,109576192
45438.736762,15966640,32894976,109576192
45438.736809,19911440,32894976,109576192
45438.736855,22937224,32894976,109576192
45438.736901,17172136,32894976,109576192
45438.736948,21099720,32894976,109576192
45438.737012,19096048,32894976,109576192
45438.737058,20773288,32894976,109576192
45438.737104,15188704,32894976,109576192
45438.737151,18962600,32894976,109576192
45438.737197,22501808,32894976,109576192
45438.737243,16741288,32894976,109576192
45438.737290,19042944,32894976,109576192
45438.737336,21823424,32894976,109576192
45438.737383,15910816,32894976,109576192
45438.737429,19651328,32894976,109576192
45438.737475,21524272,32894976,109576192
45438.737522,23057808,32894976,109576192
45438.737568,17450288,32894976,109576192
45438.737615,21774816,32894976,109576192
45438.737661,15805888,32894976,109576192
45438.737707,19967880,32894976,109576192
45438.737753,23720944,32894976,109576192
45438.737800,18135640,32894976,109576192
45438.737846,20934432,32894976,109576192
45438.737893,15163400,32894976,109576192
45438.737939,18734504,32894976,109576192
45438.737985,22332384,32894976,109576192
45438.738032,17098544,32894976,109576192
45438.738078,20692968,32894976,109576192
45438.738124,24050296,32894976,109576192
45438.738171,18312616,32894976,109576192
45438.738217,21316208,32894976,109576192
45438.738263,15540928,32894976,109576192
45438.738310,19476536,32894976,109576192
45438.738356,20998032,32894976,109576192
45438.738403,24011008,32894976,109576192
45438.738449,21401848,32894976,109576192
45438.738495,21825448,32894976,109576192
45438.738542,21666808,32894976,109576192
45438.738588,21298448,32894976,109576192
45438.738634,21341592,32894976,109576192
45438.738681,20622936,32894976,109576192
45438.738727,20990632,32894976,109576192
45438.738773,20849792,32894976,109576192
45438.738820,20854624,32894976,109576192
45438.738866,20535800,32894976,109576192
45438.738912,18658480,32894976,109576192
45438.738959,18873696,32894976,109576192
45438.739005,17804120,32894976,109576192
45438.739051,17452152,32894976,109576192
45438.739098,18196472,32894976,109576192
45438.739144,16379976,32894976,109576192
45438.739190,16376896,32894976,109576192
45438.739237,16403544,32894976,109576192
45438.739283,16239048,32894976,109576192
45438.739329,16451704,32894976,109576192
45438.739376,16106936,32894976,109576192
45438.739422,15948952,32894976,109576192
45438.739468,16524864,32894976,109576192
45438.739514,16192272,32894976,109576192
45438.739561,16033248,32894976,109576192
45438.739607,24631328,32894976,109576192
45438.739654,24500648,32894976,109576192
45438.739700,24692240,32894976,109576192
45438.739746,25103832,32894976,109576192
45438.739792,25100304,32894976,109576192
45438.739839,15966968,32894976,109576192
45438.739885,25168568,32894976,109576192
45438.739931,16019056,32894976,109576192
45438.739978,16041712,32894976,109576192
45438.740024,25220920,32894976,109576192
45438.740070,16100800,32894976,109576192
45438.740117,25090016,32894976,109576192
45438.740163,25321048,32894976,109576192
45438.740210,24964376,32894976,109576192
45438.740256,24974680,32894976,109576192
45438.740302,23711600,32894976,109576192
45438.740349,23543664,32894976,109576192
45438.740395,23767016,32894976,109576192
45438.740442,24169000,32894976,109576192
45438.740488,24366688,32894976,109576192
45438.740534,24393120,32894976,109576192
45438.740581,24608120,32894976,109576192
45438.740627,24650344,32894976,109576192
45438.740673,24664280,32894976,109576192
45438.740720,23851424,32894976,109576192
45438.740766,23774616,32894976,109576192
45438.740812,23784360,32894976,109576192
45438.740859,23838184,32894976,109576192
45438.740905,24045224,32894976,109576192
45438.740951,23697560,32894976,109576192
45438.740998,22983584,32894976,109576192
45438.741059,17412304,32894976,109576192
45438.741106,24879992,32894976,109576192
45438.741152,24564752,32894976,109576192
